name;offset;size;description;bitfield
uncore;0;154560;;0
uncore.hdr.version;0;32;;0
uncore.hdr.version.revision;0;8;;1
uncore.hdr.version.header_type;8;4;;1
uncore.hdr.version.product_id;12;12;;1
uncore.hdr.version.record_type;24;6;;1
uncore.hdr.version.cldic;30;1;;1
uncore.hdr.version.consumed;31;1;;1
uncore.hdr.reason;32;32;;0
uncore.hdr.timestamp;64;64;;0
uncore.hdr.timestamp.low;64;32;;1
uncore.hdr.timestamp.high;96;32;;1
uncore.hdr.record_size;128;32;;0
uncore.hdr.collector_revision;160;32;;0
uncore.hdr.socket_id;192;8;;0
uncore.hdr.rsvd;200;24;;0
uncore.hdr.completion_status;224;32;;0
uncore.mca.bank4.ctl;1984;32;;0
uncore.mca.bank4.ctl2;2208;64;;0
uncore.mca.bank4.addr;2272;64;;0
uncore.mca.bank4.status;5408;64;;0
uncore.mca.bank4.misc;5536;64;;0
uncore.mca.bank6.instance0.ctl;132896;64;;0
uncore.mca.bank6.instance0.status;132960;64;;0
uncore.mca.bank6.instance0.ctl2;133024;64;;0
uncore.mca.bank6.instance0.addr;133216;64;;0
uncore.mca.bank6.instance0.misc;133280;64;;0
uncore.mca.bank5.instance0.ctl;151648;64;;0
uncore.mca.bank5.instance0.status;151712;64;;0
uncore.mca.bank5.instance0.misc;151776;64;;0
uncore.mca.bank5.instance0.addr;151840;64;;0
uncore.mca.bank5.instance0.ctl2;151904;64;;0
uncore.mca.bank5.instance1.ctl;153024;64;;0
uncore.mca.bank5.instance1.status;153088;64;;0
uncore.mca.bank5.instance1.misc;153152;64;;0
uncore.mca.bank5.instance1.addr;153216;64;;0
uncore.mca.bank5.instance1.ctl2;153280;64;;0
