name;offset;size;description;bitfield
uncore;0;107264;;0
uncore.hdr.version;0;32;;0
uncore.hdr.version.revision;0;8;;1
uncore.hdr.version.header_type;8;4;;1
uncore.hdr.version.product_id;12;12;;1
uncore.hdr.version.record_type;24;6;;1
uncore.hdr.version.cldic;30;1;;1
uncore.hdr.version.consumed;31;1;;1
uncore.hdr.reason;32;32;;0
uncore.hdr.timestamp;64;64;;0
uncore.hdr.timestamp.low;64;32;;1
uncore.hdr.timestamp.high;96;32;;1
uncore.hdr.record_size;128;32;;0
uncore.hdr.collector_revision;160;32;;0
uncore.hdr.socket_id;192;8;;0
uncore.hdr.rsvd;200;24;;0
uncore.hdr.completion_status;224;32;;0
uncore.mca.bank17.addr;2080;64;;0
uncore.mca.bank17.ctl;2144;64;;0
uncore.mca.bank17.status;2208;64;;0
uncore.mca.bank17.misc;2272;64;;0
uncore.mca.bank17.ctl2;2336;64;;0
uncore.mca.bank12.instance0.addr;2688;64;;0
uncore.mca.bank12.instance0.ctl;2752;64;;0
uncore.mca.bank12.instance0.ctl2;2816;64;;0
uncore.mca.bank12.instance0.misc;2880;64;;0
uncore.mca.bank12.instance0.status;2944;64;;0
uncore.mca.bank12.instance7.addr;3200;64;;0
uncore.mca.bank12.instance7.ctl;3264;64;;0
uncore.mca.bank12.instance7.ctl2;3328;64;;0
uncore.mca.bank12.instance7.misc;3392;64;;0
uncore.mca.bank12.instance7.status;3456;64;;0
uncore.mca.bank18.addr;3584;64;;0
uncore.mca.bank18.ctl;3648;64;;0
uncore.mca.bank18.status;3712;64;;0
uncore.mca.bank18.misc;3776;64;;0
uncore.mca.bank18.ctl2;3840;64;;0
uncore.mca.bank12.instance1.addr;4192;64;;0
uncore.mca.bank12.instance1.ctl;4256;64;;0
uncore.mca.bank12.instance1.ctl2;4320;64;;0
uncore.mca.bank12.instance1.misc;4384;64;;0
uncore.mca.bank12.instance1.status;4448;64;;0
uncore.mca.bank19.addr;4576;64;;0
uncore.mca.bank19.ctl;4640;64;;0
uncore.mca.bank19.status;4704;64;;0
uncore.mca.bank19.misc;4768;64;;0
uncore.mca.bank19.ctl2;4832;64;;0
uncore.mca.bank12.instance2.addr;5184;64;;0
uncore.mca.bank12.instance2.ctl;5248;64;;0
uncore.mca.bank12.instance2.ctl2;5312;64;;0
uncore.mca.bank12.instance2.misc;5376;64;;0
uncore.mca.bank12.instance2.status;5440;64;;0
uncore.mca.bank20.addr;5568;64;;0
uncore.mca.bank20.ctl;5632;64;;0
uncore.mca.bank20.status;5696;64;;0
uncore.mca.bank20.misc;5760;64;;0
uncore.mca.bank20.ctl2;5824;64;;0
uncore.mca.bank12.instance3.addr;6176;64;;0
uncore.mca.bank12.instance3.ctl;6240;64;;0
uncore.mca.bank12.instance3.ctl2;6304;64;;0
uncore.mca.bank12.instance3.misc;6368;64;;0
uncore.mca.bank12.instance3.status;6432;64;;0
uncore.mca.bank13.addr;6560;64;;0
uncore.mca.bank13.ctl;6624;64;;0
uncore.mca.bank13.status;6688;64;;0
uncore.mca.bank13.misc;6752;64;;0
uncore.mca.bank13.ctl2;6816;64;;0
uncore.mca.bank6.instance2.ctl;7424;64;;0
uncore.mca.bank6.instance2.status;7488;64;;0
uncore.mca.bank6.instance2.ctl2;7552;64;;0
uncore.mca.bank6.instance2.addr;7744;64;;0
uncore.mca.bank6.instance2.misc;7808;64;;0
uncore.mca.bank12.instance4.addr;8864;64;;0
uncore.mca.bank12.instance4.ctl;8928;64;;0
uncore.mca.bank12.instance4.ctl2;8992;64;;0
uncore.mca.bank12.instance4.misc;9056;64;;0
uncore.mca.bank12.instance4.status;9120;64;;0
uncore.mca.bank14.addr;9248;64;;0
uncore.mca.bank14.ctl;9312;64;;0
uncore.mca.bank14.status;9376;64;;0
uncore.mca.bank14.misc;9440;64;;0
uncore.mca.bank14.ctl2;9504;64;;0
uncore.mca.bank12.instance5.addr;9856;64;;0
uncore.mca.bank12.instance5.ctl;9920;64;;0
uncore.mca.bank12.instance5.ctl2;9984;64;;0
uncore.mca.bank12.instance5.misc;10048;64;;0
uncore.mca.bank12.instance5.status;10112;64;;0
uncore.mca.bank15.addr;10240;64;;0
uncore.mca.bank15.ctl;10304;64;;0
uncore.mca.bank15.status;10368;64;;0
uncore.mca.bank15.misc;10432;64;;0
uncore.mca.bank15.ctl2;10496;64;;0
uncore.mca.bank12.instance6.addr;10848;64;;0
uncore.mca.bank12.instance6.ctl;10912;64;;0
uncore.mca.bank12.instance6.ctl2;10976;64;;0
uncore.mca.bank12.instance6.misc;11040;64;;0
uncore.mca.bank12.instance6.status;11104;64;;0
uncore.mca.bank16.addr;11232;64;;0
uncore.mca.bank16.ctl;11296;64;;0
uncore.mca.bank16.status;11360;64;;0
uncore.mca.bank16.misc;11424;64;;0
uncore.mca.bank16.ctl2;11488;64;;0
uncore.mca.bank11.instance0.addr;11712;64;;0
uncore.mca.bank11.instance0.ctl2;11776;64;;0
uncore.mca.bank11.instance0.ctl;11840;64;;0
uncore.mca.bank11.instance0.misc;11904;64;;0
uncore.mca.bank11.instance0.status;11968;64;;0
uncore.mca.bank11.instance1.addr;12096;64;;0
uncore.mca.bank11.instance1.ctl2;12160;64;;0
uncore.mca.bank11.instance1.ctl;12224;64;;0
uncore.mca.bank11.instance1.misc;12288;64;;0
uncore.mca.bank11.instance1.status;12352;64;;0
uncore.mca.bank11.instance2.addr;12480;64;;0
uncore.mca.bank11.instance2.ctl2;12544;64;;0
uncore.mca.bank11.instance2.ctl;12608;64;;0
uncore.mca.bank11.instance2.misc;12672;64;;0
uncore.mca.bank11.instance2.status;12736;64;;0
uncore.mca.bank11.instance3.addr;12864;64;;0
uncore.mca.bank11.instance3.ctl2;12928;64;;0
uncore.mca.bank11.instance3.ctl;12992;64;;0
uncore.mca.bank11.instance3.misc;13056;64;;0
uncore.mca.bank11.instance3.status;13120;64;;0
uncore.mca.bank11.instance4.addr;13248;64;;0
uncore.mca.bank11.instance4.ctl2;13312;64;;0
uncore.mca.bank11.instance4.ctl;13376;64;;0
uncore.mca.bank11.instance4.misc;13440;64;;0
uncore.mca.bank11.instance4.status;13504;64;;0
uncore.mca.bank11.instance5.addr;13632;64;;0
uncore.mca.bank11.instance5.ctl2;13696;64;;0
uncore.mca.bank11.instance5.ctl;13760;64;;0
uncore.mca.bank11.instance5.misc;13824;64;;0
uncore.mca.bank11.instance5.status;13888;64;;0
uncore.mca.bank11.instance6.addr;14016;64;;0
uncore.mca.bank11.instance6.ctl2;14080;64;;0
uncore.mca.bank11.instance6.ctl;14144;64;;0
uncore.mca.bank11.instance6.misc;14208;64;;0
uncore.mca.bank11.instance6.status;14272;64;;0
uncore.mca.bank11.instance7.addr;14400;64;;0
uncore.mca.bank11.instance7.ctl2;14464;64;;0
uncore.mca.bank11.instance7.ctl;14528;64;;0
uncore.mca.bank11.instance7.misc;14592;64;;0
uncore.mca.bank11.instance7.status;14656;64;;0
uncore.mca.bank9.instance0.status;14784;64;;0
uncore.mca.bank9.instance0.addr;14848;64;;0
