name;offset;size;description;bitfield
uncore;0;18560;;0
uncore.hdr.version;0;32;;0
uncore.hdr.version.revision;0;8;;1
uncore.hdr.version.header_type;8;4;;1
uncore.hdr.version.product_id;12;12;;1
uncore.hdr.version.record_type;24;6;;1
uncore.hdr.version.cldic;30;1;;1
uncore.hdr.version.consumed;31;1;;1
uncore.hdr.reason;32;32;;0
uncore.hdr.timestamp;64;64;;0
uncore.hdr.timestamp.low;64;32;;1
uncore.hdr.timestamp.high;96;32;;1
uncore.hdr.record_size;128;32;;0
uncore.hdr.collector_revision;160;32;;0
uncore.hdr.socket_id;192;8;;0
uncore.hdr.rsvd;200;24;;0
uncore.hdr.completion_status;224;32;;0
uncore.mca.bank12.instance21.addr;2400;64;;0
uncore.mca.bank12.instance21.ctl;2464;64;;0
uncore.mca.bank12.instance21.ctl2;2528;64;;0
uncore.mca.bank12.instance21.misc;2592;64;;0
uncore.mca.bank12.instance21.status;2656;64;;0
uncore.mca.bank12.instance2.addr;3008;64;;0
uncore.mca.bank12.instance2.ctl;3072;64;;0
uncore.mca.bank12.instance2.ctl2;3136;64;;0
uncore.mca.bank12.instance2.misc;3200;64;;0
uncore.mca.bank12.instance2.status;3264;64;;0
uncore.mca.bank12.instance16.addr;3616;64;;0
uncore.mca.bank12.instance16.ctl;3680;64;;0
uncore.mca.bank12.instance16.ctl2;3744;64;;0
uncore.mca.bank12.instance16.misc;3808;64;;0
uncore.mca.bank12.instance16.status;3872;64;;0
uncore.mca.bank12.instance3.addr;4128;64;;0
uncore.mca.bank12.instance3.ctl;4192;64;;0
uncore.mca.bank12.instance3.ctl2;4256;64;;0
uncore.mca.bank12.instance3.misc;4320;64;;0
uncore.mca.bank12.instance3.status;4384;64;;0
uncore.mca.bank12.instance17.addr;4736;64;;0
uncore.mca.bank12.instance17.ctl;4800;64;;0
uncore.mca.bank12.instance17.ctl2;4864;64;;0
uncore.mca.bank12.instance17.misc;4928;64;;0
uncore.mca.bank12.instance17.status;4992;64;;0
uncore.mca.bank12.instance0.addr;5344;64;;0
uncore.mca.bank12.instance0.ctl;5408;64;;0
uncore.mca.bank12.instance0.ctl2;5472;64;;0
uncore.mca.bank12.instance0.misc;5536;64;;0
uncore.mca.bank12.instance0.status;5600;64;;0
uncore.mca.bank12.instance1.addr;5952;64;;0
uncore.mca.bank12.instance1.ctl;6016;64;;0
uncore.mca.bank12.instance1.ctl2;6080;64;;0
uncore.mca.bank12.instance1.misc;6144;64;;0
uncore.mca.bank12.instance1.status;6208;64;;0
uncore.mca.bank6.instance4.ctl;6816;64;;0
uncore.mca.bank6.instance4.status;6880;64;;0
uncore.mca.bank6.instance4.ctl2;6944;64;;0
uncore.mca.bank6.instance4.addr;7136;64;;0
uncore.mca.bank6.instance4.misc;7200;64;;0
uncore.mca.bank12.instance20.addr;8256;64;;0
uncore.mca.bank12.instance20.ctl;8320;64;;0
uncore.mca.bank12.instance20.ctl2;8384;64;;0
uncore.mca.bank12.instance20.misc;8448;64;;0
uncore.mca.bank12.instance20.status;8512;64;;0
uncore.mca.bank9.instance120.status;8640;64;;0
uncore.mca.bank9.instance120.addr;8704;64;;0
uncore.mca.bank9.instance120.ctl2;8768;64;;0
uncore.mca.bank9.instance120.ctl;8832;64;;0
uncore.mca.bank9.instance120.misc;8896;64;;0
uncore.mca.bank9.instance121.status;9024;64;;0
uncore.mca.bank9.instance121.addr;9088;64;;0
uncore.mca.bank9.instance121.ctl2;9152;64;;0
uncore.mca.bank9.instance121.ctl;9216;64;;0
uncore.mca.bank9.instance121.misc;9280;64;;0
uncore.mca.bank9.instance122.status;9408;64;;0
uncore.mca.bank9.instance122.addr;9472;64;;0
uncore.mca.bank9.instance122.ctl2;9536;64;;0
uncore.mca.bank9.instance122.ctl;9600;64;;0
uncore.mca.bank9.instance122.misc;9664;64;;0
uncore.mca.bank9.instance123.status;9792;64;;0
uncore.mca.bank9.instance123.addr;9856;64;;0
uncore.mca.bank9.instance123.ctl2;9920;64;;0
uncore.mca.bank9.instance123.ctl;9984;64;;0
uncore.mca.bank9.instance123.misc;10048;64;;0
uncore.mca.bank9.instance124.status;10176;64;;0
uncore.mca.bank9.instance124.addr;10240;64;;0
uncore.mca.bank9.instance124.ctl2;10304;64;;0
uncore.mca.bank9.instance124.ctl;10368;64;;0
uncore.mca.bank9.instance124.misc;10432;64;;0
uncore.mca.bank9.instance125.status;10560;64;;0
uncore.mca.bank9.instance125.addr;10624;64;;0
uncore.mca.bank9.instance125.ctl2;10688;64;;0
uncore.mca.bank9.instance125.ctl;10752;64;;0
uncore.mca.bank9.instance125.misc;10816;64;;0
uncore.mca.bank9.instance126.status;10944;64;;0
uncore.mca.bank9.instance126.addr;11008;64;;0
uncore.mca.bank9.instance126.ctl2;11072;64;;0
uncore.mca.bank9.instance126.ctl;11136;64;;0
uncore.mca.bank9.instance126.misc;11200;64;;0
uncore.mca.bank9.instance127.status;11328;64;;0
uncore.mca.bank9.instance127.addr;11392;64;;0
uncore.mca.bank9.instance127.ctl2;11456;64;;0
uncore.mca.bank9.instance127.ctl;11520;64;;0
uncore.mca.bank9.instance127.misc;11584;64;;0
uncore.mca.bank7.instance120.ctl;11744;64;;0
uncore.mca.bank7.instance120.status;11808;64;;0
uncore.mca.bank7.instance120.addr;11872;64;;0
uncore.mca.bank7.instance120.misc;11936;64;;0
uncore.mca.bank7.instance121.ctl;12288;64;;0
uncore.mca.bank7.instance121.status;12352;64;;0
uncore.mca.bank7.instance121.addr;12416;64;;0
uncore.mca.bank7.instance121.misc;12480;64;;0
uncore.mca.bank7.instance122.ctl;12832;64;;0
uncore.mca.bank7.instance122.status;12896;64;;0
uncore.mca.bank7.instance122.addr;12960;64;;0
uncore.mca.bank7.instance122.misc;13024;64;;0
uncore.mca.bank7.instance123.ctl;13376;64;;0
uncore.mca.bank7.instance123.status;13440;64;;0
uncore.mca.bank7.instance123.addr;13504;64;;0
uncore.mca.bank7.instance123.misc;13568;64;;0
uncore.mca.bank7.instance124.ctl;13920;64;;0
uncore.mca.bank7.instance124.status;13984;64;;0
uncore.mca.bank7.instance124.addr;14048;64;;0
uncore.mca.bank7.instance124.misc;14112;64;;0
uncore.mca.bank7.instance125.ctl;14464;64;;0
uncore.mca.bank7.instance125.status;14528;64;;0
uncore.mca.bank7.instance125.addr;14592;64;;0
uncore.mca.bank7.instance125.misc;14656;64;;0
uncore.mca.bank7.instance126.ctl;15008;64;;0
uncore.mca.bank7.instance126.status;15072;64;;0
uncore.mca.bank7.instance126.addr;15136;64;;0
uncore.mca.bank7.instance126.misc;15200;64;;0
uncore.mca.bank7.instance127.ctl;15552;64;;0
uncore.mca.bank7.instance127.status;15616;64;;0
uncore.mca.bank7.instance127.addr;15680;64;;0
uncore.mca.bank7.instance127.misc;15744;64;;0
