name;offset;size;description;bitfield
module.xq.xq_114.address;7744;52;;0
module.xq.xq_114.req_type;7796;8;;0
module.xq.xq_114.core_id;7804;2;;0
module.xq.xq_114.status;7806;1;;0
module.xq.xq_115;7808;64;;0
module.xq.xq_115.address;7808;52;;0
module.xq.xq_115.req_type;7860;8;;0
module.xq.xq_115.core_id;7868;2;;0
module.xq.xq_115.status;7870;1;;0
module.xq.xq_116;7872;64;;0
module.xq.xq_116.address;7872;52;;0
module.xq.xq_116.req_type;7924;8;;0
module.xq.xq_116.core_id;7932;2;;0
module.xq.xq_116.status;7934;1;;0
module.xq.xq_117;7936;64;;0
module.xq.xq_117.address;7936;52;;0
module.xq.xq_117.req_type;7988;8;;0
module.xq.xq_117.core_id;7996;2;;0
module.xq.xq_117.status;7998;1;;0
module.xq.xq_118;8000;64;;0
module.xq.xq_118.address;8000;52;;0
module.xq.xq_118.req_type;8052;8;;0
module.xq.xq_118.core_id;8060;2;;0
module.xq.xq_118.status;8062;1;;0
module.xq.xq_119;8064;64;;0
module.xq.xq_119.address;8064;52;;0
module.xq.xq_119.req_type;8116;8;;0
module.xq.xq_119.core_id;8124;2;;0
module.xq.xq_119.status;8126;1;;0
module.xq.xq_120;8128;64;;0
module.xq.xq_120.address;8128;52;;0
module.xq.xq_120.req_type;8180;8;;0
module.xq.xq_120.core_id;8188;2;;0
module.xq.xq_120.status;8190;1;;0
module.xq.xq_121;8192;64;;0
module.xq.xq_121.address;8192;52;;0
module.xq.xq_121.req_type;8244;8;;0
module.xq.xq_121.core_id;8252;2;;0
module.xq.xq_121.status;8254;1;;0
module.xq.xq_122;8256;64;;0
module.xq.xq_122.address;8256;52;;0
module.xq.xq_122.req_type;8308;8;;0
module.xq.xq_122.core_id;8316;2;;0
module.xq.xq_122.status;8318;1;;0
module.xq.xq_123;8320;64;;0
module.xq.xq_123.address;8320;52;;0
module.xq.xq_123.req_type;8372;8;;0
module.xq.xq_123.core_id;8380;2;;0
module.xq.xq_123.status;8382;1;;0
module.xq.xq_124;8384;64;;0
module.xq.xq_124.address;8384;52;;0
module.xq.xq_124.req_type;8436;8;;0
module.xq.xq_124.core_id;8444;2;;0
module.xq.xq_124.status;8446;1;;0
module.xq.xq_125;8448;64;;0
module.xq.xq_125.address;8448;52;;0
module.xq.xq_125.req_type;8500;8;;0
module.xq.xq_125.core_id;8508;2;;0
module.xq.xq_125.status;8510;1;;0
module.xq.xq_126;8512;64;;0
module.xq.xq_126.address;8512;52;;0
module.xq.xq_126.req_type;8564;8;;0
module.xq.xq_126.core_id;8572;2;;0
module.xq.xq_126.status;8574;1;;0
module.xq.xq_127;8576;64;;0
module.xq.xq_127.address;8576;52;;0
module.xq.xq_127.req_type;8628;8;;0
module.xq.xq_127.core_id;8636;2;;0
module.xq.xq_127.status;8638;1;;0
